#clorosos	#planta	#fondo
"158,80,156"	"135,114,5"	"56,144,166"
"149,87,164"	"129,96,3"	"49,140,161"
"131,110,177"	"125,100,7"	"56,140,164"
"132,109,177"	"122,99,5"	"52,136,160"
"133,107,178"	"121,98,4"	"52,140,162"
"134,106,180"	"121,96,3"	"57,145,167"
"133,102,178"	"120,95,2"	"54,138,162"
"72,124,163"	"121,95,2"	"55,140,161"
"71,123,162"	"143,89,1"	"53,139,152"
"69,122,162"	"144,88,1"	"54,140,153"
"64,122,160"	"123,98,6"	"54,137,151"
"60,122,159"	"126,95,2"	"55,138,152"
"153,88,146"	"128,95,0"	"55,138,154"
"156,85,153"	"127,98,4"	"54,137,153"
"134,64,92"	"125,99,4"	"53,136,152"
"141,67,100"	"125,96,2"	"51,134,150"
"150,91,147"	"132,95,6"	"51,137,154"
"158,74,172"	"135,88,6"	"53,136,154"
"154,79,184"	"133,97,0"	"54,137,155"
"146,78,181"	"137,94,0"	"52,135,153"
"148,82,179"	"136,93,1"	"52,138,155"
"147,82,176"	"129,92,1"	"50,127,147"
"149,84,178"	"119,94,10"	"49,126,146"
"146,82,178"	"117,95,10"	"50,125,146"
"162,97,177"	"119,94,2"	"49,124,145"
"167,94,175"	"120,97,3"	"48,123,144"
"170,90,175"	"123,97,4"	"46,121,142"
"173,87,174"	"131,90,2"	"47,122,143"
"175,91,179"	"128,97,6"	"47,122,145"
"166,92,181"	"122,98,2"	"48,123,146"
"165,92,147"	"131,94,5"	"50,122,146"
"133,89,176"	"132,92,4"	"48,119,141"
"137,84,176"	"136,87,8"	"50,121,143"
"132,86,176"	"136,87,10"	"51,121,146"
"92,66,111"	"135,99,2"	"49,119,144"
"94,71,113"	"136,96,1"	"64,75,120"
"109,86,158"	"133,93,0"	"63,74,119"
"139,85,179"	"131,92,0"	"65,76,121"
"152,75,169"	"127,94,0"	"67,75,121"
"151,79,181"	"119,96,0"	"66,74,120"
"145,77,180"	"117,97,2"	"65,73,119"
"146,80,177"	"121,95,0"	"70,72,121"
"148,83,177"	"118,98,3"	"70,74,122"
"147,81,178"	"118,99,4"	"53,115,166"
"142,80,177"	"121,96,4"	"54,114,168"
"159,96,175"	"131,91,4"	"53,113,167"
"167,93,178"	"127,96,5"	"54,110,167"
"171,91,176"	"130,93,4"	"52,108,165"
"171,89,171"	"136,89,1"	"54,108,168"
"168,86,168"	"138,88,0"	"57,107,168"
"171,91,180"	"138,88,1"	"58,108,169"
"172,92,165"	"135,95,7"	"59,109,170"
"137,86,178"	"132,96,8"	"60,108,170"
"140,83,177"	"123,96,5"	"59,107,169"
"136,85,177"	"127,91,3"	"58,110,170"
"124,95,115"	"131,91,3"	"59,111,169"
"121,95,106"	"135,93,7"	"66,149,163"
"116,89,134"	"132,95,4"	"64,147,161"
"153,90,143"	"129,96,1"	"67,149,163"
"151,77,172"	"127,97,1"	"66,148,162"
"151,80,182"	"130,97,4"	"65,147,161"
"147,79,180"	"130,93,2"	"65,148,162"
"145,79,176"	"137,91,5"	"65,148,164"
"149,83,180"	"136,88,4"	"66,147,164"
"143,81,178"	"131,93,10"	"69,148,165"
"158,99,179"	"130,94,6"	"68,147,164"
"166,92,179"	"121,94,5"	"67,145,165"
"169,89,176"	"154,83,3"	"64,145,164"
"170,93,173"	"155,84,4"	"64,147,165"
"173,92,184"	"153,86,5"	"50,138,160"
"167,85,170"	"152,87,5"	"54,140,165"
"140,85,179"	"152,87,3"	"55,141,166"
"143,83,179"	"154,88,2"	"53,139,164"
"107,76,81"	"154,90,3"	"50,136,161"
"101,75,62"	"149,92,3"	"53,141,165"
"104,81,89"	"146,92,2"	"52,140,164"
"140,78,57"	"142,93,1"	"54,141,161"
"150,78,177"	"153,97,2"	"56,144,164"
"150,79,181"	"155,96,2"	"55,143,163"
"148,80,183"	"153,97,4"	"50,137,154"
"145,78,181"	"152,96,3"	"49,136,153"
"149,83,183"	"154,95,3"	"51,138,155"
"148,82,180"	"159,92,3"	"48,134,149"
"145,83,180"	"165,91,4"	"47,135,147"
"154,95,175"	"169,89,4"	"49,125,149"
"170,90,179"	"172,87,4"	"48,124,148"
"169,91,177"	"173,87,4"	"49,127,150"
"166,87,176"	"168,88,3"	"48,126,149"
"167,86,179"	"169,87,3"	"50,127,153"
"168,87,179"	"171,86,3"	"53,130,156"
"166,68,181"	"171,85,2"	"49,126,152"
"174,68,156"	"169,84,1"	"47,124,152"
"177,69,105"	"170,85,2"	"45,125,152"
"173,66,160"	"168,86,2"	"46,126,153"
"173,64,145"	"165,87,2"	"48,125,153"
"178,68,141"	"153,80,3"	"49,124,153"
"140,77,72"	"153,82,4"	"51,125,154"
"146,78,179"	"151,83,2"	"50,125,154"
"145,77,176"	"150,83,2"	"49,124,155"
"146,80,180"	"152,84,3"	"63,76,121"
"141,79,180"	"156,85,3"	"62,75,120"
"144,82,181"	"157,86,4"	"66,77,123"
"146,82,179"	"154,88,4"	"67,78,124"
"144,85,179"	"153,88,4"	"66,74,123"
"149,96,174"	"149,87,2"	"62,72,121"
"163,90,179"	"152,98,2"	"50,106,167"
"167,86,178"	"153,98,5"	"51,105,167"
"166,87,178"	"153,98,7"	"54,104,167"
"169,90,181"	"151,96,5"	"55,105,166"
"166,86,181"	"154,95,5"	"55,105,164"
