class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
clorosis	hue	0.000797765798543691	0.0008637577978490921	0.0009242283788935392	0.0009773101148183429	0.001021281539131791	0.0010546588999373761	0.0010762787399640169	0.0010853649402267137	0.0010815748647486	0.001065020789886267	0.0010362647510933473	0.000996287097395351	0.0009464311861743426	0.0008883285545885836	0.0008238103737445079	0.0007548118849407263	0.0006832767609664956	0.0006110679334164555	0.0005398904563165799	0.0004712305738428284	0.000406313501349734	0.0003460807044680048	0.0002911858505596227	0.00024200725888339218	0.00019867369287028462	0.00016109976928081727	0.00012902710183369172	0.00010206750368299158	7.97450642052764e-05	6.153459374679729e-05	4.689469511831702e-05	3.5294481983281294e-05	2.623364945622509e-05	1.9256161932626305e-05	1.3958232130199585e-05	9.991519893486358e-06	7.062592926264753e-06	4.929689120545102e-06	3.3977321207301824e-06	2.312409524895027e-06	1.5539550068365296e-06	1.0311045996778132e-06	6.755399640345399e-07	4.36997859287815e-07	2.791198797436172e-07	1.7604012245239672e-07	1.0965818095141072e-07	6.751639860188236e-08	4.118874655288693e-08	2.5089268423200037e-08	1.561668912029043e-08	1.0565396786829779e-08	8.749484289105244e-09	9.804787428551766e-09	1.4153683710104655e-08	2.3139378242902812e-08	3.936166323543597e-08	6.72762761770405e-08	1.1415677675342558e-07	1.9156298594308734e-07	3.175146336069307e-07	5.19633011585941e-07	8.395853933669458e-07	1.339242365274409e-06	2.109029049372973e-06	3.279005110437053e-06	5.033228125415256e-06	7.627918202295919e-06	1.1413822689642732e-05	1.6862950914565747e-05	2.4599484905713676e-05	3.543415542818043e-05	5.040070010338013e-05	7.079221017374972e-05	9.819427111216504e-05	0.00013451088915234947	0.00018197838392850518	0.00024316185850095849	0.0003209286908166936	0.000418393881750631	0.0005388331735883721	0.0006855616921891495	0.0008617784546383372	0.0010703803038076905	0.0013137524468637507	0.001593546441444985	0.0019104597632500781	0.0022640335389165988	0.002652486202745921	0.0030726003979614737	0.003519678221235872	0.003987575947589402	0.004468823953604784	0.004954831185153438	0.005436166865156612	0.005902905961710944	0.006345019962661935	0.0067527913125540115	0.007117228805865935	0.007430462340222022	0.007686098445727427	0.007879522380940947	0.008008137599186246	0.008071538258081417	0.008071614461843095	0.008012592577145775	0.007901014017854651	0.007745655437870975	0.007557391687044081	0.007349000778491788	0.007134908205190983	0.006930866931761434	0.006753569836277734	0.006620193609879375	0.0065478771637557925	0.006553143158365858	0.00665127779772046	0.006855690760178774	0.007177283204409175	0.007623856346176358	0.008199595423459412	0.008904663446927032	0.009734935747590741	0.010681900078477597	0.011732738309861485	0.012870595256481309	0.014075028766884365	0.015322623868589529	0.016587743472747565	0.017843379763898742	0.019062064601366273	0.020216794444330555	0.021281925596941233	0.022233998781435293	0.02305245776652776	0.02372023439969708	0.02422418119979841	0.024555341914082523	0.024709059425567857	0.024684928506347955	0.024486607683056955	0.02412150960761257	0.023600392672424485	0.022936878196579007	0.02214691749946144	0.021248231842624095	0.02025974590583925	0.019201032549896538	0.018091783479870435	0.016951317383968746	0.01579813442979697	0.01464952379437841	0.013521229218566407	0.012427176340353296	0.011379264625660763	0.010387225885466166	0.009458550446187538	0.008598480862799423	0.007810071535233018	0.007094310699543154	0.00645029909944587	0.005875477365629152	0.005365891961082186	0.004916487735200556	0.004521413897977443	0.004174329758633637	0.0038686969726257673	0.0035980463136808896	0.003356209041132029	0.0031375055872950755	0.002936887300299919	0.0027500300676371898	0.0025733815412495925	0.0024041661506694497	0.0022403539560346434	0.0020806005689453073	0.0019241658522518323	0.0017708189720051584	0.0016207367442836772	0.0014744012554165557	0.0013325015989774142	0.0011958434098787933	0.0010652687920466731	0.0009415882953463858	0.0008255258219787	0.0007176767221062207	0.000618478843036663	0.0005281958901753115	0.0004469121113619932	0.00037453701256374554	0.0003108185510772715	0.0002553630442369961	0.00020765989614506057	0.0001671092012127405	0.00013305034385968048	0.00010478987998804672	8.162724644015296e-05	6.287717652249443e-05	4.788807164829808e-05	3.6055956703602054e-05	2.683399709495879e-05	1.973785182376071e-05	1.4347361461484166e-05	1.0305214691518868e-05	7.313303767188756e-06	5.1274771778995856e-06	3.551341585038594e-06	2.4296717097001523e-06	1.6418733003216233e-06	1.095825565201854e-06	7.223172912718296e-07	4.701933255228521e-07	3.02249569187072e-07	1.9185640751385636e-07	1.2025148809430243e-07	7.442034821863988e-08	4.547417821435619e-08	2.743443056259196e-08	1.63407521328769e-08	9.609066084694316e-09	5.578433943935835e-09	3.19709194736957e-09	1.8088400060255948e-09	1.0102725041764898e-09	5.570087710300834e-10	3.0315378387289625e-10	1.6286743853981435e-10	8.6371245467897e-11	4.5212810825082784e-11	2.336175201238397e-11	1.1915037829941645e-11	5.998275837308441e-12	2.9805308790532243e-12	1.4618152412508854e-12	7.076504160851556e-13	3.3811813928705794e-13	1.594548861844204e-13	7.422040176676219e-14	3.4097420687204564e-14	1.5460707008669335e-14	6.919007148562609e-15	3.056060800792244e-15	1.3322364454932272e-15	5.731907972784134e-16	2.4339591792142716e-16	1.0200495837969241e-16	4.2191118062235814e-17	1.722306743847435e-17	6.938853982570385e-18	2.7589951304029434e-18	1.0826755053220617e-18	4.193032425397656e-19	1.6026514666590696e-19	6.045460739859147e-20	2.250597097431987e-20	8.268805506616176e-21
planta	hue	3.1756939046000637e-24	2.398419686401902e-20	7.085560817149586e-17	8.204074820747557e-14	3.7412373329157535e-11	6.800510500504038e-09	5.065323923382068e-07	1.6332346112972696e-05	0.0002468165548392871	0.0018588533489992945	0.007035421214963415	0.013405087269812665	0.013798374625180142	0.012427605214152333	0.025173291468407848	0.05226184432947449	0.07112128556655621	0.07534166604206141	0.08079449102058832	0.08768197723247052	0.09053167773434415	0.09757351878666051	0.1048164203410362	0.09851078448126219	0.07771807884104769	0.049409988076243895	0.02535709527114769	0.010842386558969307	0.0034101957211047796	0.000612913761626205	5.1530023009068625e-05	1.8260994594128983e-06	2.6066193121098615e-08	1.4712699883552544e-10	3.2597351200450234e-13	2.8267985580618677e-16	9.583838925666368e-20	1.2697681592500897e-23	6.5731671503817e-28	1.329416136674237e-32	1.0504413230365174e-37	3.2426700565259385e-43	3.910678276413521e-49	1.8425492227524696e-55	3.3915913882242334e-62	2.4389632719844145e-69	6.85210907321523e-77	7.520739212022904e-85	3.2248835711741368e-93	5.402375862194373e-102	3.535678746423429e-111	9.040200117780082e-121	9.030265834494596e-131	3.5240354693708736e-141	5.372757648340362e-152	3.200158402872564e-163	7.446684343317031e-175	6.769734845418126e-187	2.404349607229741e-199	3.3361135170025386e-212	1.8084281855820957e-225	3.829825258438519e-239	3.16864726095744e-253	1.0242030775057473e-267	1.2933483160183928e-282	6.380609585503965e-298	1.2297762076e-313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fondo	hue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16e-321	6.9910871368e-313	3.151222096790789e-304	1.0706868538079762e-295	2.7421744933273574e-287	5.293913769583614e-279	7.703849657133244e-271	8.450606797489584e-263	6.987424863395365e-255	4.3550742926704715e-247	2.0460825266470136e-239	7.246025990470374e-232	1.9343087295851483e-224	3.892251198832213e-217	5.903711103471778e-210	6.749918093239638e-203	5.817294916412845e-196	3.779138754715384e-189	1.8506051975535815e-182	6.830994082671118e-176	1.9006547840369818e-169	3.986316651539302e-163	6.302162249279859e-157	7.510288608692852e-151	6.746413665071665e-145	4.568132004732326e-139	2.331598243798121e-133	8.970533400470705e-128	2.601551287645065e-122	5.6871702518802634e-117	9.371518370051776e-112	1.1640558721542417e-106	1.0899037417201209e-101	7.692249034099457e-97	4.092323557296927e-92	1.6411140750441818e-87	4.960903076318308e-83	1.130413115729006e-78	1.941645065601676e-74	2.5139753320366782e-70	2.4536564154544507e-66	1.8052281886174039e-62	1.0012014323976951e-58	4.185900964236039e-55	1.3193014166534104e-51	3.1347236017610305e-48	5.615278163202805e-45	7.583718056178101e-42	7.722559492733328e-39	5.929900220029076e-36	3.4339351195999084e-33	1.4999048447025489e-30	4.942570551228947e-28	1.2290788117688505e-25	2.3072969357372486e-23	3.271410650619134e-21	3.505529779035855e-19	2.8413747303418234e-17	1.7440026004158225e-15	8.118047238459248e-14	2.87133739086403e-12	7.736484072532546e-11	1.5931228897020866e-09	2.5177345602036342e-08	3.069614366003167e-07	2.905425097696611e-06	2.150714139215506e-05	0.0001255324931180459	0.0005827543053726986	0.0021706519101245977	0.0065456483532346284	0.016133340709939013	0.032857183765239946	0.05598246506109309	0.08082592554873914	0.09996840001924251	0.10662990677625418	0.09821277989944975	0.0778921203555686	0.05323611196048638	0.03251452659767713	0.020819030177277695	0.01853575598758295	0.022851821497700247	0.03001463087542849	0.03608328655826688	0.037257539056911634	0.03181681077946784	0.021938826104858887	0.012194521101458758	0.006003800034573071	0.004032848405452126	0.0051817006803900854	0.007910611877431164	0.010831450581500908	0.012964681514506375	0.013815799952148222	0.013241988526300106	0.01136216870579142	0.008595022314209489	0.00561400119057046	0.003096338799864906	0.0014123200015286246	0.000523379092866413	0.0001553097933796147	3.647247989436841e-05	6.713131635351433e-06	9.607801636344117e-07	1.062237237414805e-07	9.024104192961064e-09	5.865575795558406e-10	2.9071183720398307e-11	1.0957182624220543e-12	3.1341179874200766e-14	6.792252685035685e-16	1.1139306916473355e-17	1.3811422277324772e-19	1.2937256706351373e-21	9.150233863435995e-24	4.8845930681667776e-26	1.9674081375914142e-28	5.977606267040103e-31	1.3697742136860514e-33	2.36701302213985e-36	3.084166782974103e-39	3.029891523749965e-42	2.2441042327530282e-45	1.2530448307276962e-48	5.274526074666171e-52	1.6737195057671825e-55	4.00365023260157e-59	7.21934225965526e-63	9.813016598088219e-67	1.0054658605711175e-70	7.765856767466282e-75	4.521334955013335e-79	1.9842561967066458e-83	6.564194386731857e-88	1.6368801918538947e-92	3.0768298590833263e-97	4.3595404667281694e-102	4.6561635105501556e-107	3.7485709499711715e-112	2.274851450768996e-117	1.040614773902286e-122	3.5881984379319956e-128	9.326363739108743e-134	1.8272484841837658e-139	2.698560659440536e-145	3.0041114100908458e-151	2.520862348468545e-157	1.5945254441966916e-163	7.602614764311438e-170	2.7323964486816654e-176	7.402418371565165e-183	1.5116551295794947e-189	2.3269175345703435e-196	2.699966859458628e-203	2.3614841922854264e-210	1.5569003557371209e-217	7.737234454596664e-225	2.8984102652388643e-232	8.184329827863294e-240	1.7420296723494615e-247	2.7949698912742615e-255	3.380242669691965e-263	3.08153982897225e-271	2.1175654902840102e-279	1.0968697904790459e-287	4.2827473950640826e-296	1.2604888342423055e-304	2.7964348473e-313	4.64e-322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clorosis	saturation	4.114061951143526e-18	1.3014809970468232e-17	4.0319283737790086e-17	1.2231987321680623e-16	3.6340577497397626e-16	1.057301047984773e-15	3.0124447456607827e-15	8.405330115598564e-15	2.2967171522015792e-14	6.145811592217983e-14	1.6105419779532325e-13	4.1332168426411707e-13	1.0387956140385635e-12	2.55682168935877e-12	6.163140335595244e-12	1.4549164595779124e-11	3.363657838864148e-11	7.61600075227599e-11	1.688836203030109e-10	3.667733610028875e-10	7.801218383274576e-10	1.6251242954272877e-09	3.315704155874098e-09	6.625765121355281e-09	1.2968027550237223e-08	2.4859738674991276e-08	4.667793936755529e-08	8.584750408431844e-08	1.5465133240205937e-07	2.728974882154245e-07	4.7171099619268617e-07	7.987201612023242e-07	1.3248539929053308e-06	2.1528296421826e-06	3.4271586006046254e-06	5.345119124920149e-06	8.167632262243151e-06	1.2228376024982678e-05	1.7938856983599786e-05	2.5786658921450443e-05	3.632387181846505e-05	5.014295434702484e-05	6.783815768694813e-05	8.995222010522861e-05	0.00011691028426011494	0.00014894567993847276	0.00018602496753439128	0.00022778192824868864	0.00027347143808026	0.0003219538636244248	0.0003717184598341469	0.00042095024172758924	0.0004676393298230807	0.0005097255769981287	0.0005452653665681602	0.0005726028917216145	0.00059052590471565	0.0005983864369187853	0.000596170436671545	0.0005845062355429909	0.0005646093753321251	0.0005381694634391654	0.0005071921523567645	0.00047381497521487205	0.0004401188366135824	0.0004079570918640516	0.0003788214249287552	0.00035375863514012406	0.00033334575884619115	0.000317723673464891	0.0003066825073063009	0.0002997867771585059	0.00029652494452068676	0.0002964674210946962	0.0002994189247273879	0.0003055549720494905	0.0003155372479689173	0.0003306073847667661	0.0003526620355603606	0.0003843130021996401	0.00042893407225309154	0.000490691373166497	0.0005745475103898334	0.000686223244110192	0.0008320960540930714	0.001019014610007264	0.001254013248998171	0.0015439213535801018	0.001894878027901498	0.0023117804634309384	0.0027977117568110063	0.0033534072854264968	0.00397682504890833	0.00466288267467741	0.005403411566114865	0.006187358056277338	0.0070012349534091705	0.007829798038859357	0.008656894811769466	0.009466410791268868	0.010243225043590782	0.010974083353933193	0.011648305455537059	0.012258261471241478	0.01279958032542337	0.013271086072798411	0.013674492384999971	0.014013915588114118	0.014295287394097779	0.014525755567433341	0.014713152081383013	0.014865584705613699	0.01499117360367384	0.015097916414655172	0.015193631973221147	0.015285912392349985	0.015382011296740274	0.015488613996565348	0.015611469914531153	0.015754910884618754	0.015921320688947107	0.016110650946746418	0.016320088286236302	0.01654396422819853	0.016773964436099048	0.016999644949409927	0.01720920999035298	0.017390460024242656	0.017531789348805085	0.01762310523866771	0.017656556431020484	0.017626993633181726	0.01753213123811507	0.017372428126647715	0.017150746986239373	0.0168718785668838	0.01654202553348797	0.016168329726913726	0.015758500128573782	0.015320563018715488	0.014862718772143403	0.01439325955612813	0.013920485434376103	0.013452556685237104	0.012997237461146154	0.012561516453906149	0.012151127201077966	0.011770025732545621	0.011419908341402274	0.011099861363373069	0.010806225368074476	0.01053272948030242	0.01027091265459926	0.010010805061271374	0.009741802511632612	0.009453637263818595	0.0091373344041102	0.008786045904408126	0.008395672831150704	0.00796521590593608	0.007496830129947667	0.00699559468954202	0.006469039891444931	0.005926494995312699	0.005378332890625374	0.004835189676552083	0.004307230737756464	0.0038035220591636897	0.003331548772258889	0.0028969046370337353	0.0025031583161864296	0.002151886377255378	0.0018428499663254725	0.0015742826302656832	0.0013432511052596516	0.001146049071357619	0.0009785857057751026	0.000836735930466201	0.0007166268779116177	0.0006148444013403428	0.0005285533773609955	0.00045553498970196487	0.0003941521440397807	0.0003432598940608674	0.00030208085618225566	0.0002700660378610393	0.0002467596306574206	0.000231682699755578	0.00022424603272805442	0.0002236973885613614	0.00022910362171159863	0.00023936411795583715	0.00025324899317568	0.0002694537534240372	0.0002866616379748894	0.00030360557320694657	0.0003191233237240718	0.0003322016830393552	0.00034200795937867564	0.0003479091292062167	0.00034948047819314914	0.0003465061224486724	0.00033897352335959525	0.00032706322186127354	0.00031113392245685787	0.0002917021927546692	0.0002694157572808664	0.0002450198048890229	0.00021931680743640485	0.00019312176513853574	0.00016721613869343264	0.00014230459939728067	0.00011897885440834747	9.769211464265396e-05	7.874640764684345e-05	6.229319693956715e-05	4.8346021935600134e-05	3.6802458379458526e-05	2.747184973790148e-05	2.0105058797715528e-05	1.4422875006291192e-05	1.014052007535428e-05	6.986705586133143e-06	4.716701951441759e-06	3.119717013122805e-06	2.02146343636492e-06	1.2830955032163506e-06	7.977513973162649e-07	4.858125500617342e-07	2.8976300121327157e-07	1.6926750002448242e-07	9.683817069165809e-08	5.4256272575797056e-08	2.9769638504458255e-08	1.599590408646694e-08	8.416826084388716e-09	4.336966536123039e-09	2.1883496552693904e-09	1.0812742443432475e-09	5.231662934413448e-10	2.478707250268977e-10	1.1499782386568377e-10	5.224330497403028e-11	2.3240548965616618e-11	1.0123605618524392e-11	4.318130663029438e-12	1.8035446866965371e-12	7.376114021602052e-13	2.953908874551139e-13	1.1583361846837634e-13	4.4477423214216075e-14	1.672289947717382e-14	6.156729629740591e-15	2.2194980611856175e-15	7.834753563253879e-16	2.7080803042294823e-16
planta	saturation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33e-322	1.11237744e-316	8.1918655985033e-311	5.307632653914802e-305	3.02556357808385e-299	1.5173965657426296e-293	6.695442694776907e-288	2.599243011967358e-282	8.87772851464649e-277	2.6677444313926925e-271	7.053001420507365e-266	1.6405561822968863e-260	3.3573423706905227e-255	6.044878028790322e-250	9.575618613872072e-245	1.3345459310582473e-239	1.6363929428738144e-234	1.7653428278200065e-229	1.6755519757972826e-224	1.399181770424132e-219	1.027963653722639e-214	6.644598864955091e-210	3.7787413252557494e-205	1.890657865983404e-200	8.322735940646465e-196	3.2233441212402465e-191	1.0983344787717877e-186	3.29268320589351e-182	8.684656930703214e-178	2.015314237521852e-173	4.114530311199194e-169	7.390692721759482e-165	1.167985398890834e-160	1.6239665077444388e-156	1.986571085267515e-152	2.1380533556383813e-148	2.0245119987749538e-144	1.6865901451466284e-140	1.2361926266800634e-136	7.971684950617229e-133	4.5227386401186706e-129	2.2575648967408544e-125	9.914398769814213e-122	3.8307155907939536e-118	1.3022093906948089e-114	3.8946561753333295e-111	1.0248134384202935e-107	2.3725091000161575e-104	4.8323496350541077e-101	8.659567440231259e-98	1.3652790798219604e-94	1.8937997702086152e-91	2.3111815964966694e-88	2.4815410797374392e-85	2.3442085977651415e-82	1.948311648784518e-79	1.4246493589941896e-76	9.165263050391907e-74	5.187633287440797e-71	2.5833365571671158e-68	1.1318271262895913e-65	4.3628129562163036e-63	1.4795868989356755e-60	4.414705599377562e-58	1.15891185303284e-55	2.6766183393662282e-53	5.438885060836689e-51	9.723457044741235e-49	1.5293923237751828e-46	2.116432877334312e-44	2.5767808239868702e-42	2.760182814570227e-40	2.6012710187362526e-38	2.1568539814863667e-36	1.5734149548684586e-34	1.0098414437865339e-32	5.702305669256005e-31	2.832925701556855e-29	1.2382469374609585e-27	4.761751504612008e-26	1.6110669187739176e-24	4.795653754933637e-23	1.2559416020585983e-21	2.8938662861327275e-20	5.866443081845414e-19	1.046305840712918e-17	1.6418361930642736e-16	2.2666704757279385e-15	2.7531782986427952e-14	2.942169402751137e-13	2.7662307131061138e-12	2.2882133251880923e-11	1.6652981858878205e-10	1.0662889159218306e-09	6.006827601827186e-09	2.9771644732411872e-08	1.2982187438131624e-07	4.980584466517047e-07	1.68112548347372e-06	4.992376617175879e-06	1.3043734086744885e-05	2.998360998979948e-05	6.063917615940051e-05	0.00010789717128836659	0.00016890956816054706	0.00023264088198362998	0.00028190727702533217	0.00030055200554666463	0.00028193598238115904	0.00023277053732835687	0.00016940760372733158	0.00010957829403313092	6.56315527764122e-05	4.3027346812976395e-05	4.302736692887893e-05	6.563171901201385e-05	0.00010957936029451505	0.00016941361055266676	0.00023280030897292393	0.00028206580425552987	0.0003010500639933151	0.0002835884025087954	0.0002376332586006417	0.00018195330224502629	0.00013788078125063428	0.00012127835202458407	0.00013788077851193537	0.0001819532793651587	0.0002376330920709862	0.0002835873362198899	0.0003010440571657139	0.0002820360326107975	0.0002326704870985438	0.00016891555210601564	0.0001078982348110518	6.0639342395002155e-05	2.9983632844400948e-05	1.3043736850708927e-05	4.992376911228635e-06	1.68112551099504e-06	4.980584489177885e-07	1.2982187454547093e-07	2.9771644742873672e-08	6.006827602413782e-09	1.0662889159507677e-09	1.6652981859003794e-10	2.288213325192888e-11	2.766230713107844e-12	2.942169402752089e-13	2.7531782988040255e-14	2.2666705236845043e-15	1.6418487524802997e-16	1.049199706999052e-17	1.1732886163691163e-18	1.0491997069991064e-17	1.6418487524803815e-16	2.266670523684476e-15	2.753178298804029e-14	2.942169402751613e-13	2.766230713106233e-12	2.2882133251881815e-11	1.66529818588782e-10	1.066288915921867e-09	6.006827601827138e-09	2.9771644732410615e-08	1.2982187438129098e-07	4.98058446651118e-07	1.6811254834632958e-06	4.992376617011695e-06	1.3043734084478214e-05	2.998360996226815e-05	6.063917586518357e-05	0.00010789716852213701	0.0001689095452784144	0.00023264071545382186	0.00028190621073658113	0.0003005459987213289	0.00028190621076394786	0.00023264071574803644	0.00016890954804480872	0.00010789719140653532	6.0639342422544434e-05	2.998467654556488e-05	1.3049743680587457e-05	5.02217117157397e-06	1.8111141841583788e-06	9.97185976166466e-07	1.8169773644044485e-06	5.05208923479724e-06	1.3180652309715623e-05	3.0488911446540356e-05	6.235133463139485e-05	0.00011302561296520965	0.00018248254557444706	0.0002644436711617147	0.00034807934539600265	0.0004233677142951514	0.00048660361674341676	0.0005418929326648972	0.0005980826275575627	0.0006647659991953252	0.000751198882528129	0.0008683778676895694	0.0010311879296320586	0.0012569990242493887	0.0015591829564084536	0.001938177898177636	0.0023776551969303533	0.002854758276905185	0.0033670653928557083	0.003967825675550362	0.004795127741788691	0.006085526062303257	0.008170342739774116	0.011451181720255221	0.016342336761756983	0.023168800433640467	0.03202867962310998	0.04265563468182534	0.05433277824794319	0.06590982585889368	0.07596001265893909	0.08307249128291071	0.08620723774278898	0.08497694739225473	0.07972261760721493	0.07134360815653563	0.06098088175649078	0.04973159650400302	0.03852119803439353
